City,Team_Name,QB1,QB2,RB1,RB2,RB3,RB4,WR1,WR2,WR3,WR4,TE1,TE2,K1,K2,wins,losses
Dubuque,Psychos,,,,,,,,,,,,,,0,0,
Tokyo,Robots,,,,,,,,,,,,,,0,0,
Salem,Witches,,,,,,,,,,,,,,0,0,
Boston,Walkers,,,,,,,,,,,,,,0,0,
Philly,Flowers,,,,,,,,,,,,,,0,0,
LA,Sunkillers,,,,,,,,,,,,,,0,0,
Moscow,Mules,,,,,,,,,,,,,,0,0,
Paris,Frenchmen,,,,,,,,,,,,,,0,0,
Jakarta,Divers,,,,,,,,,,,,,,0,0,
Cleveland,Devils,,,,,,,,,,,,,,0,0,
Chicago,Snowstorm,,,,,,,,,,,,,,0,0,
New York,Sewers,,,,,,,,,,,,,,0,0,
Sydney,Kangeroos,,,,,,,,,,,,,,0,0,
Vancouver,Maples,,,,,,,,,,,,,,0,0,
Miami,Palm Fronds,,,,,,,,,,,,,,0,0,
Cyprus,Gods,,,,,,,,,,,,,,0,0,
Istanbul,Constanoples,,,,,,,,,,,,,,0,0,
Jackson Hole,Holy Jacks,,,,,,,,,,,,,,0,0,
Dallas,Tumbleweeds,,,,,,,,,,,,,,0,0,
Chernobyl,Radiation,,,,,,,,,,,,,,0,0,
London,LongLegs,,,,,,,,,,,,,,0,0,
Mexico City,Ballers,,,,,,,,,,,,,,0,0,
Boise,Boys,,,,,,,,,,,,,,0,0,
Fiji,Survivors,,,,,,,,,,,,,,0,0,
Madrid,Mothers,,,,,,,,,,,,,,0,0,
Dublin,Alcoholics,,,,,,,,,,,,,,0,0,
Denver,Boulders,,,,,,,,,,,,,,0,0,
Lima,Limos,,,,,,,,,,,,,,0,0,
Djibouti,Warriors,,,,,,,,,,,,,,0,0,
Cape Town,Heroes,,,,,,,,,,,,,,0,0,
